,0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0015232746166447596
225,0.0
226,0.0003404276797068173
227,0.0010212459450845246
228,0.00016458642206153588
229,0.0002304998006004208
230,0.0002529866608589939
231,0.0003532429601956339
232,0.0022156916642949174
233,0.0007365072167348081
234,0.0006585430075171127
235,0.00041213711832483954
236,0.001190111738803611
237,0.0009223549835860837
238,0.0
239,0.0
240,0.0
241,7.17102216274444e-05
242,0.0002076349355169765
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0009011805644226995
249,0.0004597012203847293
250,0.0
251,0.0012974004698933226
252,0.0005200681480181067
253,0.00015861583941537805
254,0.00029817868300218467
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0007123086238284446
264,0.0
265,0.0002796092705049575
266,0.0
267,0.00027341108347682744
268,0.0014416651506327443
269,0.000591640283125085
270,0.0
271,0.0
272,0.0011513238878819664
273,0.00038555953347470424
274,9.433944383213252e-05
275,0.00015982167177505042
276,0.0
277,0.0
278,0.0
279,0.0
280,7.023407779797117e-05
281,0.00011806567982508356
282,0.0
283,0.0
284,0.0010732947789643987
285,0.00020919016399698385
286,0.00016164317169142255
287,0.0
288,0.0
289,0.0
290,0.0021216746093233947
291,0.0005716878098383086
292,0.000500671571872103
293,6.592834646665979e-05
294,0.0
295,0.0
296,0.00015998691780475476
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,6.348588409856643e-05
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.00039149780708873925
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0010382169372334159
344,0.0
345,0.0008598482473584207
346,0.00017711708295716988
347,0.00031230091557835776
348,0.00021144534588098492
349,0.0002771192628206686
350,0.005713589812820418
351,0.0001780638281176508
352,0.0010890878490022898
353,0.0002868960204106224
354,0.00022491765565847867
355,0.004461261782566356
356,0.007941780304810409
357,0.0
358,0.0
359,0.0
360,0.0007603079996548641
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0001415636787471146
368,0.0005441095450363539
369,0.0
370,0.0003778457212987004
371,0.0004529581982994843
372,0.00022876917816520582
373,0.0004248373819103119
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0007327950173889328
383,0.0
384,0.0013196352655013707
385,0.0
386,0.002169173621317417
387,0.0005027245542722325
388,0.0009362961392984572
389,0.0
390,0.0
391,0.001540296663088319
392,5.040033987459054e-05
393,0.00018600730951331864
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.00018399793527783934
400,8.562513366814664e-05
401,0.0
402,0.0
403,0.0
404,0.0007530074576105527
405,0.004578444018177389
406,0.0
407,0.0
408,0.0
409,0.003297870871287508
410,0.0009996695690139038
411,0.0037861895537651393
412,0.0
413,0.0
414,0.0
415,0.00044731446826341896
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.00019529002545583287
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0008288206376317947
463,0.0
464,0.002573946853768167
465,0.001554182377556048
466,0.00018060968375960626
467,0.00016205409372684688
468,0.0
469,0.001926058661461914
470,4.854680039557658e-05
471,0.0002577981779280349
472,0.0008667265506925642
473,0.0006723664602178713
474,0.0017924322100696666
475,0.014768902333357248
476,0.0
477,0.0
478,0.0
479,0.00017531787687051994
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0005326730036658983
487,0.0006553636105932407
488,0.0
489,0.0007668713040187055
490,0.0002831056166368164
491,0.0
492,0.0006582297180051742
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0003260592342299676
502,0.0
503,0.00044145078666660536
504,0.0
505,0.0005475384699844898
506,0.0004341750595000265
507,0.001440681264413898
508,0.0
509,0.0
510,0.0014908554803731802
511,0.0011805777327582557
512,0.0
513,8.842634149999619e-05
514,0.0
515,0.0
516,0.0
517,0.0
518,0.00018971464600508437
519,6.289461164253248e-05
520,0.0
521,0.0
522,0.0
523,7.399108878899204e-05
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0019546252025785323
529,0.00032840403608420417
