shap,group
0.020361509294143,20
0.000262118230376,20
0.001655306633616,20
0.000429274178774,20
0.000341392445051,20
0.000488337124533,20
0.000355787909827,20
0.000321694549645,21
0.000637998082186,21
0,21
0,21
0.000215101427998,21
0.000565957550668,21
0.000456862130997,21
0.000239956490356,21
0.000836833215446,21
0,21
0.000679559793122,21
0.00104540087662,21
0.000806828145709,21
0,21
0.000198600610075,21
0,21
0.000569514271806,21
0.001508035497725,21
0.000152872550904,21
0.000840085497111,21
0.001007967597881,21
9.30502490505392E-05,21
0.00072270934318,21
0,21
0.000556167511278,21
0.000780475932693,21
0.000597801352855,21
0,21
0.002800248629464,21
0.000540549191809,21
0.000450680126769,21
0.000338404606978,21
0.000490558452275,21
0.000400842586947,21
0.000341560935339,21
0.000135319787054,21
0,21
0.000442311836251,21
0.00022041733779,21
0.000381525897267,21
0.000801794158103,21
0.001203472296088,21
0.001032079509307,21
0.000377578730104,22
0.000575436043432,23
0.010890584663953,24
0.000431575342854,24
0,24
0.001536899249101,24
0,25
0,25
0.00023145006087,26
0.000662690965603,27
0.001554904428195,27
