shap,group
0.002400718794114,27
0.000907648909013,28
7.49969258365913E-05,29
0.00122817927414,30
0.007547196322536,31
0.000292224394757,32
0.000641049620481,33
0.000366144890281,33
0.000850617320676,33
0.000330003067942,33
0.000631979654485,33
0.02649229066388,33
0.000148540216853,33
0.003092656596503,33
0.000280228143376,33
0,33
0.002765187864504,33
0.004820102640234,33
0.000139809212671,33
0,33
0,33
0,33
0,33
0.000229359858102,33
0,33
0.009135027020341,34
0.001206975621265,34
0.001078922140547,34
0.00087531993556,34
0.001192023005259,34
0.000229212062676,34
0.000544726855735,35
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
9.58061012763948E-05,36
0,36
0,36
0,36
0,36
0,36
0.001047504191184,36
0.000117194134081,36
0,36
0,36
0,36
6.60359462429403E-05,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0.000364275225098,37
0,38
0.004386297528203,39
0.000756712583082,40
0.000173198061086,42
4.53575516584741E-05,43
0.000288115063799,43
0.000259000239072,43
0.001124188383672,43
0.002205757923035,43
0.000392770470113,44
9.03700438289448E-05,44
0.003316469795242,45
0,46
